	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
4272	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71815
4273	V9-	V9- Vaisala RS90 DigiCORA I, II, or Marwin base case {1995} 31313=97199  (W3=71) [F=T403DL,P=Sc,T=Wc,U=2Ah]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-08001
4274	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-02365
4275	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-47778
4277	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-31	2013-01-01	0-20001-0-04270
4279	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-30054
4281	VNl	VNl Vaisala RS92 DigiCORA III auto corr, LoRAN wind 31313=48006  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-03953
4282	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57083
4283	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-47741
4284	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-89571
4285	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-85586
4286	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-30	2013-01-01	0-20000-0-25428
4288	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20001-0-28225
4290	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-47807
4292	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-48601
4294	ZSg	ZSg Sippican LMS6 model 1848-___ radiosonde 400-406 MHz GPS {2005}  [F=T400-406DL,P=0,T=TC,U=A,N=G] (W3=111 or 11 reused, should be 31313=51108 starting 20080101	111	Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative   humidity sensor, and derived pressure from GPS   height          	2012-12-04	2013-01-14	0-20000-0-72381
4295	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72694
4296	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-31369
4297	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-47945
4298	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-29839
4299	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72456
4300	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-08430
4301	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-11120
4302	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-01415
4304	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-34172
4305	ZKN	ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)]	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91285
4307	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72659
4309	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72489
4310	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72476
4312	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-31	2013-01-01	0-20000-0-04220
4315	V9*	V9* Vaisala RS90 Star radiosonde base case 31313=97499  (W3=74) [F=T403DL,P=Sc,T=Wc,U=2Ah]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-07110
4316	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-29263
4318	VD_	VD_ Vaisala RS80 PC Cora base case 31313=96299  (W3=62) [F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-21	2013-01-02	0-20000-0-10304
4320	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-71811
4321	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-56778
4322	ZKg	ZKg exact type insufficiently documented	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72426
4323	MVP	MVP Mixed Vaisala RS92 Autosonde LoRAN (VN6, 31313=48106) and GPS (VN8, 31313=48108) 	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-45004
4325	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	152	Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          	2012-12-31	2013-01-01	0-20000-0-72440
4328	BFa	BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908  [F=T403FL,P=none,T=TB,U=A,N=G]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-04360
4332	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71867
4333	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-04417
4336	ZSg	ZSg Sippican LMS6 model 1848-___ radiosonde 400-406 MHz GPS {2005}  [F=T400-406DL,P=0,T=TC,U=A,N=G] (W3=111 or 11 reused, should be 31313=51108 starting 20080101	111	Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative   humidity sensor, and derived pressure from GPS   height          	2012-12-31	2013-01-01	0-20000-0-47971
4338	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72249
4339	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-17607
4340	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-10410
4342	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72558
4343	89	MARL-A or Vektor-M-BAR (Russian Federation)              	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-34882
4345	J0M	J0M Japan Meisei RS-01GM GPS radiosonde for Automated Radiosonde System {2006} 31313=75508  (W3=55) [F=T404.5DL,P=none,T=TR,U=A,N=GD]	130	Meisei RS-06G (Japan)                            	2012-12-31	2013-01-01	0-20000-0-47918
4347	V9-	V9- Vaisala RS90 DigiCORA I, II, or Marwin base case {1995} 31313=97199  (W3=71) [F=T403DL,P=Sc,T=Wc,U=2Ah]	121	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        	2012-12-31	2013-01-01	0-20000-0-47102
4348	SGG	SGG SGN Switzerland SRS-C34 digital GPS radiosonde with pressure, ROTRONICS HC2 humidity {[= 2010} 31313=52608  [F=T400DL,P=H(water),T=H,U=A(ROTRONICS HC2),N=G]	26	Meteolabor Basora (Switzerland)                	2012-12-31	2013-01-01	0-20000-0-06610
4401	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-89611
4402	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-74389
